chunk,phrase_type,word_order
advmod root nsubj obl det obj,adverbial_clause,pso
punct vocative punct parataxis nsubj obl amod pobj obj det amod attr obl pobj xcomp obl det nmod appos nmod nmod appos punct parataxis nsubj punct nsubj ccomp advmod neg advmod punct advmod mark advmod advmod nsubj advcl obj nsubj attr cop,subordinate_clause,sov
punct nsubj conj obl pobj xcomp,infinitive_clause,sov
cc advmod conj obj cc det obj advmod cc conj advmod advmod mark nsubj case obl case obl root,prepositional_phrase,osp
advmod root det nsubj,adverbial_clause,ps
case obl xcomp case amod obl case amod obl,prepositional_phrase,osv
cc mark det nsubj amod aux advcl,subordinate_clause,sv
case det obl punct mark root nsubj advmod,prepositional_phrase,ops
cc conj advmod case det obl,prepositional_phrase,svo
advmod root nsubj compound:prt mark xcomp,subordinate_clause,ps
case det obl det compound nsubj aux acl:relcl,prepositional_phrase,osv
advmod root nsubj obj nsubj amod aux,adverbial_clause,pso
ccomp amod obj rel advmod nmod:poss acl:relcl obj mark obl,subordinate_clause,osv
cc punct root nsubj,main_clause,ps
punct nsubj ccomp advmod advmod xcomp punct nsubj parataxis aux det advmod nsubj xcomp,adverbial_clause,sv
case det amod nmod det nmod:poss nmod punct mark nsubj advcl advmod advmod advmod case det obl cc case det obl,prepositional_phrase,svo
voc voc punct root nsubj,main_clause,ps
punct obj aux nsubj advmod,adverbial_clause,ovs
ccomp punct advcl nsubj advcl advmod det nmod nmod obj,subordinate_clause,svo
det nsubj root xcomp obj advmod,adverbial_clause,spo
prep mark pobj mark nsubj advmod ccomp advmod det obj prep det pobj xcomp,prepositional_phrase,sov
prep pobj rel advmod aux relcl,prepositional_phrase,osv
punct advmod root nsubj amod obj,adverbial_clause,pso
advmod root nsubj advmod,adverbial_clause,ps
prep mark pobj cc conj advmod prep det pobj prep det pobj cc conj prep amod pobj obj punct advmod parataxis det obj punct advmod parataxis det obj,prepositional_phrase,osv
cc advmod root nsubj advmod advmod,adverbial_clause,ps
cc advmod xcomp mark mark nsubj advcl obl det amod obl ref nsubj advmod acl:relcl obj ccomp,subordinate_clause,sov
cc root obj obl,main_clause,spo
punct cc nsubj conj advmod obl xcomp,adverbial_clause,sv
nsubj root obj nsubj,main_clause,spo
ccomp punct cc nsubj conj advmod punct nummod obl cc conj obl det obj nsubj aux advcl,subordinate_clause,sov
punct obl det pobj advmod aux nsubj xcomp det obj,adverbial_clause,ovs
ccomp,complement_clause,unknown
advmod nsubj obj advcl punct advmod root nsubj,subordinate_clause,sop
case det obl punct case advmod punct advmod parataxis acomp attr punct advmod punct parataxis nsubj punct ref advmod advmod acl xcomp det amod obj case det obl cc case det obl nmod:poss nmod punct nsubj aux,prepositional_phrase,osv
conj obj nsubj advmod ccomp cc case det obl conj aux,prepositional_phrase,osv
punct advcl nsubj advmod det attr ccomp advcl obl det amod cc conj case acl aux,prepositional_phrase,sov
cc nsubj root advmod det poss amod obj advmod advcl,subordinate_clause,spo
mark det nsubj det amod obj xcomp aux,subordinate_clause,sov
ccomp,complement_clause,sv
nsubj root,main_clause,sp
punct nsubj conj obj advmod xcomp cc obj xcomp det amod obj cc conj det obj nsubj advmod acl:relcl,adverbial_clause,sov
cc advmod det nsubj appos case det obl root aux,prepositional_phrase,sop
cc conj mark nsubj aux advmod,subordinate_clause,sv
ccomp cc aux obl pobj,complement_clause,svo
conj obj cc conj punct advmod conj nsubj advmod attr cc conj obj obl amod pobj cc conj mark nsubj obl cc obl ccomp attr,subordinate_clause,sov
det nsubj root obj advmod acomp,adverbial_clause,spo
case det obl case det obl punct mark nsubj advcl advmod advmod det amod obj,prepositional_phrase,osv
cc nsubj flat:name root,main_clause,sp
mark nsubj case obl ccomp aux,prepositional_phrase,sov
advmod root nsubj,adverbial_clause,ps
mark nsubj neg aux ccomp det obj ref advmod det obj,subordinate_clause,sov
acl:relcl mark obl,subordinate_clause,unknown
cc punct root nsubj,main_clause,ps
punct nsubj ccomp advmod advmod xcomp punct nsubj ccomp cop obj advmod aux xcomp,adverbial_clause,sov
case det amod pobj det nmod:poss amod punct mark nsubj advcl advmod advmod advmod case det obl cc case det obl,prepositional_phrase,osv
voc voc punct root nsubj,main_clause,ps
punct mark ccomp nsubj advmod xcomp punct mark nsubj advcl advmod nmod:poss nmod:poss advmod obj,subordinate_clause,svo
det obj root xcomp nsubj advmod obl,adverbial_clause,ops
mark xcomp mark nsubj advmod xcomp advmod det obj case obl amod xcomp,prepositional_phrase,sov
obl pobj ref advmod aux acl:relcl,adverbial_clause,osv
punct advmod root nsubj amod obj,adverbial_clause,pso
advmod root nsubj advmod,adverbial_clause,ps
case mark xcomp cc conj advmod case det obl case det obl cc conj case amod obl xcomp,prepositional_phrase,osv
advmod root nsubj xcomp,adverbial_clause,ps
