chunk,phrase_type,word_order
case obl case obl nsubj cc advmod conj,prepositional_phrase,osv
nsubj compound compound cc conj case nmod:poss case obl case det obl root nsubj xcomp obj,prepositional_phrase,sop
case obl mark cop nsubj compound,prepositional_phrase,ovs
acl:relcl case obl nmod:poss case obl cc case conj nmod:poss cc case conj cc conj det compound advmod cop appos cc conj,prepositional_phrase,sov
case obl compound compound punct advmod nsubj amod mark advmod acl:relcl case obl nmod:poss cc conj nsubj amod case nmod cc case conj amod advmod punct aux,prepositional_phrase,osv
conj case obl cc conj compound compound cc conj compound cc det conj mark acl:relcl nsubj nmod:poss mark cop,prepositional_phrase,osv
case mark acl:relcl compound mark acl:relcl case obj case det obl nmod:poss cc case det conj cc case det case conj case det det nmod cc advmod conj det nsubj det amod obj cc conj case det obj cc conj obj compound cc conj obj case obl det compound mark advcl nsubj det compound mark acl:relcl obj case obl acl:relcl xcomp case obl nmod:poss cc mark advmod conj obj case obl mark acl:relcl nsubj compound case obl cc conj obj case fixed obl nmod:poss case nmod nmod:poss mark nsubj cc case conj conj cc advmod case conj mark advmod acl:relcl xcomp obj case obl nmod:poss cc mark advmod conj obj compound case obl cc mark conj compound nmod:poss cc conj compound cc advmod conj obj cc conj compound cc conj compound mark fixed advcl nsubj nmod:poss case nmod:poss case obl compound cc conj cc conj case obl mark nsubj acl:relcl det compound cc case conj xcomp case obl nmod:poss obj mark cop advcl obj,prepositional_phrase,osv
mark nsubj nsubj det compound case nmod advmod ccomp cc advmod conj mark fixed advcl nsubj det compound cc cop,prepositional_phrase,sv
conj mark nsubj ccomp case fixed case cc obl case det nmod advmod case det nmod mark nsubj acl:relcl cc conj case obl det cc conj mark acl:relcl case obl csubj cc conj advmod advcl cc conj obj compound nmod:poss,prepositional_phrase,sov
det nsubj root xcomp,noun_phrase,sp
case obl cc case conj conj case obl det compound det amod cc conj case obl cc conj nummod obj amod advmod case obl mark case acl:relcl cc advmod case conj amod cc advmod mark conj case det obj cc conj advmod mark fixed det nsubj advcl cc conj det amod xcomp case obl cc conj csubj case det obj obj amod cc conj mark fixed advcl case obl nmod:poss,prepositional_phrase,osv
case root mark acl:relcl case obl cc nsubj conj advmod,prepositional_phrase,pos
case obl nmod:poss case nmod nmod:poss cc case conj nmod:poss nsubj nmod:poss cc case conj nmod:poss advmod case nmod case nmod nmod:poss cc conj advmod conj cc advmod conj case obl advmod cc conj case fixed cop nsubj det compound,prepositional_phrase,osv
punct case nmod cc advmod conj case obl case fixed obl case det obl cc case det conj cc nsubj mark acl:relcl nsubj case obl nmod:poss obj compound mark nsubj compound cop,prepositional_phrase,osv
cc nsubj acl:relcl amod case nmod cc advmod case det conj mark advmod cop nsubj det compound,prepositional_phrase,sv
ccomp case obl mark fixed advcl case obl advmod mark fixed obl obj fixed case obl obj case nmod case fixed obl case det obl cc advmod conj obj cc case obl mark acl:relcl advmod det det nsubj cc conj case obj mark ccomp case obl advmod csubj cc conj case obl cc conj mark acl:relcl case obl case obj nmod:poss case obl mark acl:relcl case obl csubj cc conj cc conj cc det nsubj appos cc conj conj det amod cc det conj conj case obl case obl cc case obl nmod:poss conj punct parataxis cc conj punct cc conj case nummod obj cc conj case obj case obl conj cc advmod nsubj det conj case nmod nmod:poss cc case conj case nmod mark nsubj nmod:poss det compound case acl:relcl nmod:poss case det nmod:poss det amod cc det conj mark acl:relcl case obl nsubj cc advmod conj advmod conj cc conj cc conj cc conj obj amod acl obj det amod det amod cc det conj,prepositional_phrase,osv
cc advmod root nsubj flat flat,adverbial_clause,ps
case obl case obl cc mark nsubj obl case nmod det det case nmod nsubj conj case obl nmod:poss cc conj cc conj mark nsubj ccomp amod advmod cc conj nmod:poss advmod case nmod amod cc conj case obl cc advmod conj nsubj mark ccomp mark det ccomp compound nmod:poss cc conj obj nsubj mark acl:relcl,prepositional_phrase,osv
nsubj amod case mark advcl nsubj cc conj root obj,prepositional_phrase,spo
cc advmod conj obj case det obl compound advmod mark acl:relcl case obl cc conj amod cc conj mark acl:relcl cc conj mark acl:relcl advmod ccomp advmod cc case conj cc advmod conj cc advmod mark acl:relcl cc advmod det conj mark fixed advmod advcl obj cc advmod conj case obl nmod:poss cc case conj nmod:poss det amod cc advmod case conj cc advmod conj advmod mark ccomp case obl xcomp case obl obj case nmod acl:relcl nsubj mark ccomp nsubj case obl nmod:poss case obl compound cc advmod conj mark acl:relcl det nsubj case nmod case obj ccomp cc nsubj conj case obl case obl conj obj case obl advmod cc mark conj case obl nmod:poss case obl conj case obj conj cc advmod conj conj mark advmod ccomp nummod nsubj advmod cc conj csubj advmod obj case nmod nmod:poss case det obl punct,prepositional_phrase,osv
case obl flat flat cc advmod root nsubj compound,prepositional_phrase,ops
case fixed cop advcl nsubj,prepositional_phrase,vs
cc case punct det mark advcl det obl:unmarked conj nsubj nmod:poss case nmod:poss advmod fixed mark nsubj advcl nummod obj cc advmod case conj det compound,prepositional_phrase,osv
cc mark advcl case obl cc conj obj cc conj amod advmod root,prepositional_phrase,osp
case obl nmod:poss mark fixed advcl mark advmod ccomp case obl advmod ccomp obj cc mark nsubj advcl case obl conj obj nummod cc nsubj conj case obj case advmod advmod advcl cc advmod conj case obl compound xcomp conj cc conj cc conj mark obl:unmarked amod ccomp mark csubj case obl compound mark advmod acl:relcl cc advmod nsubj nsubj conj case obl xcomp case obl xcomp advmod advmod conj,prepositional_phrase,osv
nsubj compound det compound mark nsubj aux,subordinate_clause,sv
acl:relcl obj nmod:poss mark advcl obj compound compound aux root advmod obl,subordinate_clause,sop
case obl nmod:poss conj cc case obj compound conj cc mark conj mark case punct ccomp case obl nmod:poss mark nsubj advcl case obl case fixed nsubj advcl case obl cc nsubj aux,prepositional_phrase,osv
conj xcomp case obl advmod det nsubj nsubj cc advmod nsubj conj mark ccomp case obl nsubj case obl cc conj obj mark acl:relcl case obj xcomp cc nsubj conj obj conj case obl advmod nsubj ccomp nsubj mark acl:relcl case obl nmod:poss mark nsubj ccomp case obl advmod nsubj ccomp cc advmod conj obj advmod conj case obl csubj obj mark fixed obl nmod:poss cc case obl conj nsubj cc conj mark acl:relcl punct case obl nmod:poss,prepositional_phrase,osv
advmod root,adverbial_clause,ps
case obj nmod:poss case obl mark acl:relcl case fixed obl case obl case obl nmod:poss cc nsubj conj xcomp mark advmod nsubj ccomp mark nsubj acl:relcl case obl cc conj case obl case obl cc conj cc advmod conj advmod xcomp case obl amod cc advmod case conj nmod:poss case nmod nmod:poss mark acl:relcl case obl cc conj flat mark advmod acl:relcl case obl nsubj nmod:poss appos flat case nmod flat flat flat flat advmod ccomp case obl obj cc conj cc advmod conj obj cc advmod conj mark advmod ccomp obj case obl case nmod:poss advmod obj amod cc advmod conj cc mark conj case obl nmod:unmarked case obl nmod:poss cc case conj nmod:poss mark fixed advcl case obl nmod:poss aux nsubj,prepositional_phrase,osv
conj case obj case mark advcl nsubj cc cop,prepositional_phrase,osv
conj case obl mark ccomp nsubj compound cc advmod conj case obj mark ccomp case obl nmod:poss case obl det compound nmod:unmarked,prepositional_phrase,osv
advmod root nsubj,adverbial_clause,ps
